time_s,Thumb_MCP,Thumb_IP,Thumb_Index_abd,Index_MCP,Index_PIP,Index_Middle_abd,Middle_MCP,Middle_PIP,Middle_Ring_abd,Ring_MCP,Ring_PIP,Ring_Little_abd,Little_MCP,Little_PIP
0.0,5.816326530612245,18.558875219683657,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.005,5.816326530612245,18.558875219683657,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.01,5.816326530612245,18.558875219683657,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.015,5.816326530612245,18.558875219683657,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.02,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,6.129032258064516
0.025,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,6.129032258064516
0.03,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,6.129032258064516
0.035,5.969387755102041,18.558875219683657,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.314814814814816,1.1160714285714286,5.516129032258065
0.04,5.969387755102041,18.558875219683657,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.314814814814816,1.1160714285714286,5.516129032258065
0.045,5.969387755102041,18.558875219683657,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.314814814814816,1.1160714285714286,5.516129032258065
0.05,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.8625954198473282,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.055,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.8625954198473282,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.06,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.8625954198473282,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.065,5.969387755102041,18.418277680140598,-7.279411764705883,23.87033398821218,24.810996563573884,-3.7656903765690375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.07,5.969387755102041,18.418277680140598,-7.279411764705883,23.87033398821218,24.810996563573884,-3.7656903765690375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.075,5.969387755102041,18.418277680140598,-7.279411764705883,23.87033398821218,24.810996563573884,-3.7656903765690375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.08,5.969387755102041,18.418277680140598,-7.279411764705883,23.87033398821218,24.810996563573884,-3.7656903765690375,5.279503105590062,23.370233702337025,-2.0164609053497937,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.085,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.09,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.095,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.1,5.969387755102041,18.418277680140598,-7.205882352941176,24.017681728880156,24.810996563573884,-3.7656903765690375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.105,5.969387755102041,18.418277680140598,-7.205882352941176,24.017681728880156,24.810996563573884,-3.7656903765690375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.11,5.969387755102041,18.418277680140598,-7.205882352941176,24.017681728880156,24.810996563573884,-3.7656903765690375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.115,5.969387755102041,18.418277680140598,-7.279411764705883,23.87033398821218,24.484536082474225,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.12,5.969387755102041,18.418277680140598,-7.279411764705883,23.87033398821218,24.484536082474225,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.125,5.969387755102041,18.418277680140598,-7.279411764705883,23.87033398821218,24.484536082474225,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.13,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.484536082474225,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.135,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.484536082474225,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.14,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.484536082474225,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.145,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.484536082474225,-3.7238493723849375,5.279503105590062,23.370233702337025,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.15,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.155,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.16,5.969387755102041,18.418277680140598,-7.279411764705883,24.017681728880156,24.810996563573884,-3.7238493723849375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.9580152671755724,3.79746835443038,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.165,5.816326530612245,18.418277680140598,-7.279411764705883,24.017681728880156,24.484536082474225,-3.7238493723849375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.8625954198473282,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
0.17,5.816326530612245,18.418277680140598,-7.279411764705883,24.017681728880156,24.484536082474225,-3.7238493723849375,5.279503105590062,23.247232472324722,-1.9341563786008231,2.8625954198473282,3.9556962025316458,-7.3765432098765435,1.0044642857142856,5.516129032258065
